run,document,figure,status,reflabel,refstart,refend,reftext,reftype,reftype_eqclass,hyplabel,hypstart,hypend,hyptext,hyptype,hyptype_eqclass
system1,4298015,Figure 2-C,match,gene_or_protein,16,20,Gli1,Uniprot:P47806,NCBI gene:14632|Uniprot:P47806,gene_or_protein,16,20,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 2-C,match,gene_or_protein,60,63,Smo,NCBI gene:319757,NCBI gene:319757|Uniprot:P56726,gene_or_protein,60,63,Smo,NCBI gene:6608,NCBI gene:6608|Uniprot:Q99835
system1,4298015,Figure 2-C,missing,cell_type_or_line,70,73,MEF,CVCL_9115,CVCL_9115,,,,,,
system1,4298015,Figure 2-C,match,gene_or_protein,81,84,Smo,NCBI gene:319757,NCBI gene:319757|Uniprot:P56726,gene_or_protein,81,84,Smo,NCBI gene:6608,NCBI gene:6608|Uniprot:Q99835
system1,4298015,Figure 2-C,missing,cell_type_or_line,91,94,MEF,CVCL_9115,CVCL_9115,,,,,,
system1,4298015,Figure 2-C,match,gene_or_protein,126,129,Gli,Uniprot:P47806|Uniprot:Q61602|Uniprot:Q0VGT2,NCBI gene:14633|Uniprot:Q0VGT2|NCBI gene:14634|Uniprot:Q61602|NCBI gene:14632|Uniprot:P47806,gene_or_protein,126,129,Gli,NCBI gene:14632|NCBI gene:14633|NCBI gene:14634,NCBI gene:14632|NCBI gene:14633|NCBI gene:14634
system1,4298015,Figure 2-C,match,gene_or_protein,207,211,Gli1,Uniprot:P47806,NCBI gene:14632|Uniprot:P47806,gene_or_protein,207,211,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 2-C,missing,small_molecule,282,286,DMSO,CHEBI:28262,CHEBI:28262|CHEBI:4612|PubChem:679,,,,,,
system1,4298015,Figure 2-D,match,gene_or_protein,58,63,Ptch1,NCBI gene:19206,NCBI gene:19206|Uniprot:Q61115,gene_or_protein,58,63,Ptch1,NCBI gene:5727,NCBI gene:5727|Uniprot:Q13635
system1,4298015,Figure 2-D,missing,cell_type_or_line,70,74,MEFs,CVCL_9115,CVCL_9115,,,,,,
system1,4298015,Figure 2-D,missing,small_molecule,106,110,DMSO,CHEBI:28262,CHEBI:28262|CHEBI:4612|PubChem:679,,,,,,
system1,4298015,Figure 2-D,match,gene_or_protein,260,266,Pfkfb3,NCBI gene:170768,NCBI gene:170768|Uniprot:A0A0A6YY64|Uniprot:A2AUP1|Uniprot:A2AUP5|Uniprot:A7UAK4|Uniprot:A7UAK5|Uniprot:A7UAK8|Uniprot:Q3U3S6|Uniprot:Q7TS91|Uniprot:Q8BVM1,gene_or_protein,260,266,Pfkfb3,NCBI gene:170768,NCBI gene:170768|Uniprot:A0A0A6YY64|Uniprot:A2AUP1|Uniprot:A2AUP5|Uniprot:A7UAK4|Uniprot:A7UAK5|Uniprot:A7UAK8|Uniprot:Q3U3S6|Uniprot:Q7TS91|Uniprot:Q8BVM1
system1,4298015,Figure 2-D,spurious,,,,,,,gene_or_protein,253,257,HPRT,NCBI gene:3251,NCBI gene:3251|Uniprot:P00492
system1,4298015,Figure 2-F,match,gene_or_protein,2,6,SuFu,NCBI gene:24069,NCBI gene:24069|Uniprot:Q9Z0P7,gene_or_protein,2,6,SuFu,NCBI gene:51684,NCBI gene:51684|Uniprot:Q9UMX1
system1,4298015,Figure 2-F,missing,cell_type_or_line,13,17,MEFs,CVCL_9115,CVCL_9115,,,,,,
system1,4298015,Figure 2-F,missing,small_molecule,54,58,DMSO,CHEBI:28262,CHEBI:28262|CHEBI:4612|PubChem:679,,,,,,
system1,4298015,Figure 2-F,match,gene_or_protein,73,77,Gli1,NCBI gene:14632,NCBI gene:14632|Uniprot:P47806,gene_or_protein,73,77,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 2-F,match,gene_or_protein,82,87,Ptch1,NCBI gene:19206,NCBI gene:19206|Uniprot:Q61115,gene_or_protein,82,87,Ptch1,NCBI gene:5727,NCBI gene:5727|Uniprot:Q13635
system1,4298015,Figure 2-F,match,gene_or_protein,181,187,Pfkfb3,NCBI gene:170768,NCBI gene:170768|Uniprot:A0A0A6YY64|Uniprot:A2AUP1|Uniprot:A2AUP5|Uniprot:A7UAK4|Uniprot:A7UAK5|Uniprot:A7UAK8|Uniprot:Q3U3S6|Uniprot:Q7TS91|Uniprot:Q8BVM1,gene_or_protein,181,187,Pfkfb3,NCBI gene:170768,NCBI gene:170768|Uniprot:A0A0A6YY64|Uniprot:A2AUP1|Uniprot:A2AUP5|Uniprot:A7UAK4|Uniprot:A7UAK5|Uniprot:A7UAK8|Uniprot:Q3U3S6|Uniprot:Q7TS91|Uniprot:Q8BVM1
system1,4298015,Figure 2-F,spurious,,,,,,,gene_or_protein,164,168,HPRT,NCBI gene:3251,NCBI gene:3251|Uniprot:P00492
system1,4298015,Figure 2-G,match,gene_or_protein,24,28,Gli1,Uniprot:P47806,NCBI gene:14632|Uniprot:P47806,gene_or_protein,24,28,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 2-G,missing,cell_type_or_line,61,64,MEF,CVCL_9115,CVCL_9115,,,,,,
system1,4298015,Figure 2-G,match,gene_or_protein,110,114,Gli1,Uniprot:P47806,NCBI gene:14632|Uniprot:P47806,gene_or_protein,110,114,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 2-G,match,gene_or_protein,244,247,Gli,Uniprot:P47806|Uniprot:Q61602|Uniprot:Q0VGT2,NCBI gene:14633|Uniprot:Q0VGT2|NCBI gene:14634|Uniprot:Q61602|NCBI gene:14632|Uniprot:P47806,gene_or_protein,244,247,Gli,NCBI gene:14632|NCBI gene:14633|NCBI gene:14634,NCBI gene:14632|NCBI gene:14633|NCBI gene:14634
system1,4298015,Figure 2-G,missing,organism_or_species,256,261,mouse,NCBI taxon:10090,NCBI taxon:10088|NCBI taxon:10090,,,,,,
system1,4298015,Figure 2-G,match,gene_or_protein,262,267,Ptch1,NCBI gene:19206,NCBI gene:19206|Uniprot:Q61115,gene_or_protein,262,267,Ptch1,NCBI gene:5727,NCBI gene:5727|Uniprot:Q13635
system1,4298015,Figure 2-H,match,gene_or_protein,2,7,Ptch1,NCBI gene:5727,NCBI gene:5727|Uniprot:Q13635,gene_or_protein,2,7,Ptch1,NCBI gene:5727,NCBI gene:5727|Uniprot:Q13635
system1,4298015,Figure 2-H,missing,cell_type_or_line,74,78,Daoy,CVCL_1167,CVCL_1167,,,,,,
system1,4298015,Figure 2-H,match,gene_or_protein,121,125,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151,gene_or_protein,121,125,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 2-H,match,gene_or_protein,130,134,Gli2,NCBI gene:2736,NCBI gene:2736,gene_or_protein,130,134,Gli2,NCBI gene:14633,NCBI gene:14633|Uniprot:Q0VGT2
system1,4298015,Figure 2-H,missing,small_molecule,222,226,DMSO,CHEBI:28262,CHEBI:28262|CHEBI:4612|PubChem:679,,,,,,
system1,4298015,Figure 2-H,match,gene_or_protein,271,275,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151,gene_or_protein,271,275,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 2-H,match,gene_or_protein,280,284,Gli2,NCBI gene:2736,NCBI gene:2736,gene_or_protein,280,284,Gli2,NCBI gene:14633,NCBI gene:14633|Uniprot:Q0VGT2
system1,4298015,Figure 2-H,missing,cell_type_or_line,332,336,Daoy,CVCL_1167,CVCL_1167,,,,,,
system1,4298015,Figure 2-H,match,gene_or_protein,362,366,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151,gene_or_protein,362,366,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 2-H,spurious,,,,,,,gene_or_protein,479,483,HPRT,NCBI gene:3251,NCBI gene:3251|Uniprot:P00492
system1,4298015,Figure 2-H,spurious,,,,,,,gene_or_protein,469,474,GAPDH,NCBI gene:24383,NCBI gene:24383|Uniprot:P04797
system1,4298015,Figure 2-H,spurious,,,,,,,gene_or_protein,138,142,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 3-A,match,gene_or_protein,55,59,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,55,59,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 3-A,match,gene_or_protein,150,154,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,150,154,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 3-A,missing,small_molecule,166,169,DNA,CHEBI:4291,CHEBI:4291,,,,,,
system1,4298015,Figure 3-B,match,gene_or_protein,28,32,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151,gene_or_protein,28,32,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 3-B,match,gene_or_protein,146,150,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,146,150,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 3-B,spurious,,,,,,,gene_or_protein,41,45,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 3-C,match,gene_or_protein,16,20,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,16,20,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 3-C,missing,small_molecule,21,24,DNA,CHEBI:4291,CHEBI:4291,,,,,,
system1,4298015,Figure 3-C,match,gene_or_protein,71,75,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151,gene_or_protein,71,75,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 3-C,match,gene_or_protein,92,96,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151,gene_or_protein,92,96,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 3-C,missing,small_molecule,167,171,DMSO,CHEBI:28262,CHEBI:28262|CHEBI:4612|PubChem:679,,,,,,
system1,4298015,Figure 3-C,match,gene_or_protein,356,360,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,356,360,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 3-C,match,gene_or_protein,377,381,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,377,381,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 3-C,match,gene_or_protein,478,482,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,478,482,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 3-C,missing,small_molecule,490,493,DNA,CHEBI:4291,CHEBI:4291,,,,,,
system1,4298015,Figure 3-C,missing,small_molecule,538,542,DMSO,CHEBI:28262,CHEBI:28262|CHEBI:4612|PubChem:679,,,,,,
system1,4298015,Figure 3-C,match,gene_or_protein,574,578,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,574,578,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 3-D,missing,cell_type_or_line,2,9,HEK293T,CVCL_0063,CVCL_0063,,,,,,
system1,4298015,Figure 3-D,match,gene_or_protein,41,44,Gli,Uniprot:P08151|Uniprot:P10070|Uniprot:P10071|Uniprot:P10075,Uniprot:P10071|NCBI gene:2735|Uniprot:P08151|Uniprot:P10075|Uniprot:P10070,gene_or_protein,41,44,Gli,NCBI gene:14632|NCBI gene:14633|NCBI gene:14634,NCBI gene:14632|NCBI gene:14633|NCBI gene:14634
system1,4298015,Figure 3-D,match,gene_or_protein,129,133,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,129,133,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 3-D,match,gene_or_protein,137,141,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151,gene_or_protein,137,141,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 3-D,missing,small_molecule,267,271,DMSO,CHEBI:28262,CHEBI:28262|CHEBI:4612|PubChem:679,,,,,,
system1,4298015,Figure 3-D,missing,small_molecule,352,356,DMSO,CHEBI:28262,CHEBI:28262|CHEBI:4612|PubChem:679,,,,,,
system1,4298015,Figure 3-D,match,gene_or_protein,380,384,Gli1,Uniprot:P08151,NCBI gene:2735|Uniprot:P08151,gene_or_protein,380,384,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 4-A,missing,organism_or_species,77,82,mouse,NCBI taxon:10090,NCBI taxon:10088|NCBI taxon:10090,,,,,,
system1,4298015,Figure 4-A,missing,tissue_or_organ,83,93,cerebellar,Uberon:UBERON:0002037,Uberon:UBERON:0002037,,,,,,
system1,4298015,Figure 4-B,missing,tissue_or_organ,17,20,EGL,Uberon:UBERON:0008829,Uberon:UBERON:0008829,,,,,,
system1,4298015,Figure 4-B,missing,organism_or_species,49,54,mouse,NCBI taxon:10090,NCBI taxon:10088|NCBI taxon:10090,,,,,,
system1,4298015,Figure 4-B,missing,tissue_or_organ,54,64,cerebellum,Uberon:UBERON:0002037,Uberon:UBERON:0002037,,,,,,
system1,4298015,Figure 4-B,match,gene_or_protein,137,141,Gli1,Uniprot:P47806,NCBI gene:14632|Uniprot:P47806,gene_or_protein,137,141,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 4-B,match,gene_or_protein,161,165,Ki67,Uniprot:Q61769,Uniprot:Q61769,gene_or_protein,161,165,Ki67,Uniprot:E9PVX6,Uniprot:E9PVX6
system1,4298015,Figure 4-C,missing,tissue_or_organ,36,39,EGL,Uberon:UBERON:0008829,Uberon:UBERON:0008829,,,,,,
system1,4298015,Figure 4-C,missing,organism_or_species,78,83,mouse,NCBI taxon:10090,NCBI taxon:10088|NCBI taxon:10090,,,,,,
system1,4298015,Figure 4-C,missing,tissue_or_organ,84,93,cerebella,Uberon:UBERON:0002037,Uberon:UBERON:0002037,,,,,,
system1,4298015,Figure 4-C,missing,organism_or_species,121,126,mouse,NCBI taxon:10090,NCBI taxon:10088|NCBI taxon:10090,,,,,,
system1,4298015,Figure 4-C,missing,tissue_or_organ,127,136,cerebella,Uberon:UBERON:0002037,Uberon:UBERON:0002037,,,,,,
system1,4298015,Figure 4-C,missing,tissue_or_organ,166,175,cerebella,Uberon:UBERON:0002037,Uberon:UBERON:0002037,,,,,,
system1,4298015,Figure 4-D,missing,cell_type_or_line,16,20,GCPs,CL:0001031,CL:0001031,,,,,,
system1,4298015,Figure 4-D,missing,tissue_or_organ,22,32,Cerebellar,Uberon:UBERON:0002037,Uberon:UBERON:0002037,,,,,,
system1,4298015,Figure 4-D,missing,cell_type_or_line,32,56,granule cell progenitors,CL:0001031,CL:0001031,,,,,,
system1,4298015,Figure 4-D,missing,cell_type_or_line,58,62,GCPs,CL:0001031,CL:0001031,,,,,,
system1,4298015,Figure 4-D,missing,organism_or_species,92,96,mice,NCBI taxon:10090,NCBI taxon:10088|NCBI taxon:10090,,,,,,
system1,4298015,Figure 4-D,match,gene_or_protein,115,118,Shh,Uniprot:Q62226,Uniprot:Q62226,gene_or_protein,115,118,Shh,Uniprot:Q15465,Uniprot:Q15465
system1,4298015,Figure 4-D,missing,gene_or_protein,137,151,Sonic Hedgehog,Uniprot:Q62226,Uniprot:Q62226,,,,,,
system1,4298015,Figure 4-D,match,gene_or_protein,179,182,Shh,Uniprot:Q62226,Uniprot:Q62226,gene_or_protein,179,182,Shh,Uniprot:Q15465,Uniprot:Q15465
system1,4298015,Figure 4-D,missing,small_molecule,363,367,DMSO,CHEBI:28262,CHEBI:28262|CHEBI:4612|PubChem:679,,,,,,
system1,4298015,Figure 4-D,match,gene_or_protein,470,473,Shh,Uniprot:Q62226,Uniprot:Q62226,gene_or_protein,470,473,Shh,Uniprot:Q15465,Uniprot:Q15465
system1,4298015,Figure 4-D,missing,small_molecule,481,485,DMSO,CHEBI:28262,CHEBI:28262|CHEBI:4612|PubChem:679,,,,,,
system1,4298015,Figure 4-D,match,gene_or_protein,496,499,Shh,Uniprot:Q62226,Uniprot:Q62226,gene_or_protein,496,499,Shh,Uniprot:Q15465,Uniprot:Q15465
system1,4298015,Figure 4-D,match,gene_or_protein,514,517,Shh,Uniprot:Q62226,Uniprot:Q62226,gene_or_protein,514,517,Shh,Uniprot:Q15465,Uniprot:Q15465
system1,4298015,Figure 4-E,missing,cell_type_or_line,104,107,GCP,CL:0001031,CL:0001031,,,,,,
system1,4298015,Figure 4-E,missing,organism_or_species,143,148,mouse,NCBI taxon:10090,NCBI taxon:10088|NCBI taxon:10090,,,,,,
system1,4298015,Figure 4-E,missing,tissue_or_organ,148,157,cerebella,Uberon:UBERON:0002037,Uberon:UBERON:0002037,,,,,,
system1,4298015,Figure 4-E,spurious,,,,,,,gene_or_protein,292,296,HPRT,NCBI gene:3251,NCBI gene:3251|Uniprot:P00492
system1,4298015,Figure 4-F,missing,cell_type_or_line,114,117,GCP,CL:0001031,CL:0001031,,,,,,
system1,4298015,Figure 4-F,missing,organism_or_species,153,158,mouse,NCBI taxon:10090,NCBI taxon:10088|NCBI taxon:10090,,,,,,
system1,4298015,Figure 4-F,missing,tissue_or_organ,158,167,cerebella,Uberon:UBERON:0002037,Uberon:UBERON:0002037,,,,,,
system1,4298015,Figure 5-A,match,gene_or_protein,32,37,Ptch1,NCBI gene:19206,NCBI gene:19206|Uniprot:Q61115,gene_or_protein,32,37,Ptch1,NCBI gene:5727,NCBI gene:5727|Uniprot:Q13635
system1,4298015,Figure 5-A,missing,organism_or_species,42,46,mice,NCBI taxon:10090,NCBI taxon:10088|NCBI taxon:10090,,,,,,
system1,4298015,Figure 5-A,missing,small_molecule,83,89,GANT61,PubChem:421610,PubChem:421610,,,,,,
system1,4298015,Figure 5-A,missing,small_molecule,102,106,DMSO,CHEBI:28262,CHEBI:28262|CHEBI:4612|PubChem:679,,,,,,
system1,4298015,Figure 5-B,match,gene_or_protein,32,37,Ptch1,NCBI gene:19206,NCBI gene:19206|Uniprot:Q61115,gene_or_protein,32,37,Ptch1,NCBI gene:5727,NCBI gene:5727|Uniprot:Q13635
system1,4298015,Figure 5-B,missing,organism_or_species,42,46,mice,NCBI taxon:10090,NCBI taxon:10088|NCBI taxon:10090,,,,,,
system1,4298015,Figure 5-B,missing,small_molecule,82,88,GANT61,PubChem:421610,PubChem:421610,,,,,,
system1,4298015,Figure 5-B,missing,small_molecule,101,105,DMSO,CHEBI:28262,CHEBI:28262|CHEBI:4612|PubChem:679,,,,,,
system1,4298015,Figure 5-B,match,gene_or_protein,139,143,Gli1,NCBI gene:14632,NCBI gene:14632|Uniprot:P47806,gene_or_protein,139,143,Gli1,NCBI gene:2735,NCBI gene:2735|Uniprot:P08151
system1,4298015,Figure 5-B,spurious,,,,,,,gene_or_protein,256,260,HPRT,NCBI gene:3251,NCBI gene:3251|Uniprot:P00492
system1,4298015,Figure 5-C,match,gene_or_protein,110,115,Ptch1,NCBI gene:19206,NCBI gene:19206|Uniprot:Q61115,gene_or_protein,110,115,Ptch1,NCBI gene:5727,NCBI gene:5727|Uniprot:Q13635
system1,4298015,Figure 5-C,missing,organism_or_species,120,124,mice,NCBI taxon:10090,NCBI taxon:10088|NCBI taxon:10090,,,,,,
system1,4298015,Figure 5-C,missing,small_molecule,304,308,DMSO,CHEBI:28262,CHEBI:28262|CHEBI:4612|PubChem:679,,,,,,
