Q6P1D7	SLX4
P9WIP9	PPCA::,apg16::,p19::,vps4::,Atg4A::,Vps24::,TLN::,DAPk::,Dcp-1::,CaM::,VCP::,p38IP::,NAF‐1::,htt::,atrogin‐1::,drpr::,cholera toxin::,IRGM::,eis::,Mx1::,p130::,ptc::,MRLC::,ZIPK::,sir-2.1::,Wts::,BAG3::,mei4::,PELP1::,ASC::,InlK::,inlK::,MVP::,ActA::,AR::,dBI‐1::,IL‐1β::,BCN1::,CK2β::,UVRAG::,NRBP2::,SCOC::,ULK1::,WAC::,LC3B::,α-hemolysin::,Bim::,Vac8::,Tom1::,Pgk1::,Gli2::,DFCP-1::,sgk1::,70S6K::,raptor::,RagB::,LC3A::,LRRK2::,JFH1::,EPG-7::,SQST-1::,LGG-1::,Zwint‐1::,p20::,miR-132::,LAMP-2A::,atg‐3::,MYPT1::,beta Actin::,CA VII::,LC3b::,AGO2::,PEX5::,ATG16L1::,RINT-1::,WIPI1::,ubiquitylated::,Atg19::,VPS35::,WASH1::,PCM1::,Grx1::,Atg16L1::,WIPI2::,Ams1::,rpn‐2::,lin‐15B::,Gzmb::,PRK5::,Bak::,Bax::,STIL::,SAS-6::,PHD3X::,PI5P4K2A::,Ctns::,Mgat3::,APOE::,alanine aminotransferase::,CrkII::,Dup::,Coi12p::,Twi1p::,GI::,Dmef2::,rpb1::,Ampkα1::,Hsf1::,AMPKα::,c-Myc::,Nanog::,TCR::,IRE1::,Sec24D::,Mfa1::,NFATc2::,Dectin-1::,Phb2::,NAV3::,EN::,RANKL::,Wnt4::,TfnR::,CDC50A::,IP3R3::,cac::,ω-Aga TK::,SOD1::,SlpA::,β-spectrin::,CCR9::,CXCR4::,GOT2::,caspase‐3::,BMP‐4::,GRX2::,miR-210::,Asm::,CD4::,miR-200::,NOTCH3::,CYP27B1::,Nurr1::,MuSK::,TRAIL::,Ccnd1::,H2AX::,vps21::,Snq2::,Snc1::,Sec61::,Aβ42::,Aβ::,esxA::,PIK3CA::,LOX::,F4/80::,Mac2::,CD68::,IL-1β::,vitronectin::,CEBp alpha::,p48::,Sema3A::,IgG2a::,YAP::,Swi6::,epe1::,Hsp70::,Iba1::,Rpp30::,gephyrin::,T2::,PTPRN2::,PLCβ1::,bak1::,BAK1::,DTR::,CD206::,Ang-2::,Ve-cadherin::,RPA1::,SLFN11::,RPA2::,ApoE::,BRPF1::,Braf::,ABL1::,MMR::,Tie2::,Connexin 43::,CD22::,TET2::,TBC1D14::,GS::,RIG-I::,GCN2::,TFE3::,p38γ::,OTUB1::,Wbp2::,CASP11::,STAT2::,ALT::,Cas9::,HlgB::,LukD::,Trpv3::,TRPV2::,FoxM1::,GSK3β::,USP5::,STAT5::,Stat3::,sororin::,Smc3::,Lrig1::,RNase H2::,IFIT1::,FIP3::,DRP1::,Mcm6::,RanBP2::,Vtn::,FUS::,PKCα::,NB-3::,INVS::,RIF1::,Ubp6::,Munc18-1::,CD31::,aquaporin 4::,NEMO::,miR-30c::,Gadd45a::,β2AR::,α11.2::,histone::,WRNIP1::,Wee1::,Dio2::,VN::,Imp1::,VPS41::,AKT3::,Ago2::,miR-122::,Rab1a::,Pgc1::,Aurora A::,PDIA1::,SV2::,VAPB::,cdkb1;2::,NS1::,GSK3α::,TDP-43::,NRG1::,LUBEL::,JAM-A::,HEH1::,Chm7::,bactin::,igfbp1a::,Kap1::,Phosphogluconate Dehydrogenase::,F9::,ARSA::,Lin::,Dis3l::,Nrxn1::,PolD3::,CARD14::,Stag3::,SYCP3::,RBM15::,Sept2::,HUWE1::,Chs5::,Chs6::,BCH1::,Dln1::,Smc1β
Q24062	Black
7852	CXCR4::,cxcr4::,Cxcr4
P0CH08|P0CH09|P05759|P0CG63	ubiquitin
Q96S38|Q15418|P23443	S6K
39383	Atg12
64127	NOD2::,Nod2
Q9BZF1	ORP8
C4R4Z5	Tom20
P31539	Hsp104
67443|66734	LC3
P16970	PMP70
1387	CBP
19373	lamp2a::,p19::,TLN::,p55::,elav::,VCP::,FYCO1::,drpr::,TFEB::,MPPβ::,Pex11::,LC8::,CEBPB::,DFCP-1::,RagD::,CD16::,Epg5::,atg-3::,epg-7::,PrP::,ROCK1::,XBP‐1::,ATG16L1::,Gal4::,PLS3::,Atg38::,Aco2::,ACS2::,WASH1::,Bak::,Inn1::,tlh1::,Aβ::,ApoE::,γH2AX::,Sox2::,FXR::,SHP1::,TRF2::,F4/80::,Terc::,RANKL::,hsp42::,IP3R type 3::,NRBF2::,Rag1::,kibra::,VE-Cad::,Cep63::,Pellino-1::,Ccnd1::,pep4::,Sema3C::,CUL3::,AID::,Rab8B::,PTPRN2::,Ang-2::,HSP22.0::,VEGF-A::,Stat1::,E2F7::,TRPV2::,ATPCL::,Stat3::,MDI::,CtBP2::,PSD95::,IFN-b::,β2AR::,RAB39b::,H2A::,Cdc25C::,miR-449a::,Chm7::,junD::,MILI
Q8K1M6	Drp1::,DRP1
19645	Rb::,RB
P21796|P45880|Q9Y277	VDAC
P0CG49|P0CG50|P62984|P62983	ubiquitylation::,Ub::,ubiquitin
362302	ABCB8
951475	Jc1
852009	urh1
855091	NAT4::,nat4
P51617	IRAK1
41704	SPOP
852673	Mcm6::,mcm6
Q9VZQ3|Q7KV69|Q7KV70	karst::,Karst::,Kst
Q5S006	LRRK2
18642	pfk1::,Pfk1
37455	EGFR::,DER::,Egfr
3491	CYR61
P61353	RpL27
P00722	ULK1::,TGN46::,BI‐1::,Ubqln4::,Atg2::,MTMR3::,ubp3::,SesB::,Bax::,LAMP2B::,miR‐200c::,Orc2::,HSF1::,Yip1A::,NAV3::,Smad6::,Trf1::,p48::,VEGF::,CD11c::,exo84::,TLR1::,CNOT2::,BiP::,SEPT7::,FN::,nup133::,Glut1
Q9XZH7	MIC4
16598	Klf2
O15264	p38δ
Q75Q40	TOM40::,Tom40::,tom40
38936	dBI‐1
2932	GSK3β::,GSK3-β::,GSK3ß
27161	Apg10p::,tyrobp::,TLN::,invG::,α-amylase::,ref(2)P::,TRAIL::,ATG10::,VCP::,NAF‐1::,DHR3::,clathrin heavy-chain::,NF-κB::,cyt c::,ft::,sav::,LAS1L::,Becn1::,ras2::,Ikkβ::,inlK::,eIF2::,IL‐18::,galectin 3::,atg36::,Bad::,Tom1::,Beclin‐1::,p20::,AIN‐1::,gba::,lamin B1::,SNX18::,Beclin::,AGO2::,transferrin::,VAMP3::,PH::,HtrA2::,EGF::,Beclin-1::,dnm1::,CIP2A::,p22::,β‐catenin::,ACS2::,Eps15::,ypt7::,MPP::,pnp1::,Nox2::,REST::,LC3B::,CALM::,IL-8::,CD28::,PRK5::,Bak::,SAS-6::,Hu::,IRS-1::,IL-6::,noc::,COI12::,Coi12p::,CDF1::,GlyS::,HSF1::,GP120::,PrP::,Terc::,Wnt4::,Dfmrp::,GRX2::,VHL::,ISCU1/2::,α-SMA::,MCOLN1::,MURF2::,TTN::,Coq9::,XRCC4::,H19::,ZEB1::,Tsc22d1::,MEK1::,IL-1β::,Tgfbr2::,C7::,TGF-α::,Siglec‐14::,TNFα::,NCL::,fkh::,P18::,H2AX::,Tie2::,CD4::,TET1::,CTCF::,RAB1B::,GM130::,MAP2::,Lyzs::,KRAS::,OTUB1::,Psd-95::,VEGF-A::,NAT10::,LukE::,ATPCL::,chm::,FoxM1::,Cdca5::,NDUFB8::,53BP1::,MARK4::,CXCL10::,Sld7::,MCP::,ChAT::,Fus::,get4::,Ubp6::,GW182::,CNOT2::,G45b::,GADD45β::,Cx3cr1::,IRF3::,EGOT::,Ago2::,HuR::,CXCR5::,cycb1;1::,FBW7α::,miR-34::,Heh1::,nup116::,mapkkk5::,GALC::,H4::,CARD14::,MALT1::,Sec61β::,MVH::,SHH::,Gli2a
7016	TESK1
P17066|P11142	Hsc/Hsp70
853500	pol32
Q7KUT2	Lon
Q61221|Q61221	HIF-1
P16284	CD31::,Pecam-1::,PECAM-1
79443	FYCO1
P39052	Dyn2
P09581	GATE‐16::,TNF::,p38IP::,BCL‐2::,MCL‐1::,SUMO2::,KIF2::,Aim2::,caspase‐1::,LC3B::,ALG‐2::,SH3PX1::,Fbxo7::,Cx43::,ULK1::,centrin::,dlrrk::,IBA-1::,ALT::,Hand1::,Mfa1::,Pkm2::,LDHA::,CCR9::,FOXJ1::,GCN4::,survivin::,Ang1::,Snai1::,CD115::,Sec61::,ypt1::,fibronectin::,p48::,Sig5::,UnaG::,Tie2::,miR-10b::,HlgA::,Cdh1::,sororin::,Ubc9::,IGVL::,PARP::,synapsin::,db::,Smad2::,TGFβ::,ABH1::,CDKB1;1::,igfbp6b::,nat4::,IL-2Rα::,SCF::,HUWE1::,fft2
11335	IFN-γ::,MTMR2::,JNK1::,srtA::,TBD::,SCOC::,Bim::,ALP::,EPG-7::,ATG16L1::,WIPI2b::,Sec24D::,IRE1::,Tfn::,DARS::,granzyme B::,TTN::,TNFR1::,CUL1::,YAP::,fkh::,ral::,CyclophilinB::,Mic60::,Stat3::,Ifnar1::,HuR::,Nde-1::,CDKA;1::,Zw10::,snf7::,NAT4::,Gpr124::,SYCE2::,CCNB::,Chs5
15228	Foxg1
Q6ZWS8	SPOP
Q9UIU6	aut2::,npc1::,‐H+L::,Beclin1::,IL-6::,Atrophin::,dBI‐1::,RagD::,AIN‐1::,ROCK1::,Ctsf::,egl‐46::,HA::,IRS-1::,APOE::,Cx3cr1::,Ltbr::,Noc::,Hsp82p::,rpb1::,SLX4::,LGR5::,Ocln::,DER::,DDX3::,ALP::,CUL3::,Ang-2::,TRAPPC4::,Lyzs::,MARK4::,C3b::,GluA1::,EGOT::,RAB2A::,caspase-1::,bactin::,igf2a::,CHS6
216799	Aut2p::,p38IP::,Uba52::,Ulk1::,NALP3::,NLRP3::,unc‐57::,NRBP2::,FEZ1::,LC8::,p24::,VP3::,NS3::,CENP‐F::,miR-132::,LC3‐C::,PGL::,PrP::,ATG16L1::,Beclin-1::,H3R::,PDH E2/E3::,spns1::,TFEB::,SEPA‐1::,CALM::,GRI::,Bak::,CLCb::,Mgat3::,Twi1p::,SiglecF::,SHP1::,LCK::,Sec23::,AGO4::,ASM::,CCL2::,Coq9::,ypt1-1::,H2AX::,TRF1::,ayr1::,Npc2::,LXRα::,NRP1::,Sema3A::,Nsmce2::,Vegfc::,NCL::,LRRC8A::,Id1::,GAL4::,SLFN11::,DND1::,Bax::,PAQR3::,STAT1::,TRPV2::,FoxM1::,yH2A.X::,C3b::,ATXN2::,nap1::,Cdc25C::,SEPT6::,gp6::,CXCR5::,IL-6Rα::,Mps3::,junD::,MET::,MALT1::,IL-2Rα::,SRP54::,HUWE1::,Cldn3
Q04887	Sox9::,SOX9
F1LNJ1	LRRK2
Q8IVL0	NAV3
12530	‐H+L::,nestin::,MyD88::,Atg19::,PA28α::,TLR9::,Terc::,hsp42::,cac::,COUP-TFI::,laminin::,IL-6::,tenascin C::,IL-1R::,DTX::,chm::,Rnaseh2b::,FIP3::,NAT1::,NB-3::,ATXN2::,Ape1::,CARD14::,REC8::,Epo
Q8BG39|Q69ZS6|Q9JIS5	SV2::,Sv2
O14925	TIM23::,tim23
47874	ZW10::,Zw10
12362	caspase-1::,Caspase-1::,CASP1
10869	USP19
O54990	CD133::,Prom1
7276	TTR
Q9Y2J4	AMOTL2
P22219	Vps15::,VPS15
P05201|P05202	GOT::,AST::,aspartate aminotransferase
