P39052	Dyn2
26018	Lrig1
P53104	atg1::,Atg1::,ATG1
P62993	GRB2::,RALGPS1
13733	flotillin‐1::,HMGB1::,dBI‐1::,UVRAG::,LIR::,nos::,CD102::,α6::,RXRα::,Igf1r::,Phb2::,TGN46::,UBE4B::,Lgr5::,Coq9::,Sec61::,PIK3CA::,p48::,VEGF::,YAP::,KLF4::,Mfn2::,OTUB1::,CASP11::,pus1::,Stat3::,Pou5f1::,Lrig1::,FACL4::,Sca1::,Sufu::,doa10::,Pou2af1::,ERp57::,Tbr1::,MAPKKK5::,ARSA::,Ptch1::,F4/80::,c-Myc::,I-SceI::,Ccm1::,ß-tubulin III::,SUMM2::,Emr1
57724	Epg5
P28074	aut7::,Apg16p::,APG16::,npc1::,Atg4::,Atg4B::,Bcl‐2::,βCTF::,TLN::,caspase-1::,LGG-1::,let-363::,daf-15::,Buffy::,nanos::,CaM::,α-COP::,BCL‐2::,DHPR::,Atg16L1::,IRGM::,Sqh::,Yki::,Mei4::,Red1::,red1::,ura4::,SUMO::,InlK::,BI‐1::,TRAF2::,NLRP3::,Rab8a::,TAB3::,FEZ1::,SCOC::,OM45::,atg32::,Bim::,Beclin 1::,ALP::,BECN1::,Ptch1::,beclin-1::,nbr1::,aminopeptidase I::,sqst-1::,lgg-1::,W07G4.5::,Beclin‐1::,IL-18::,p20::,Trp53::,nsP2::,let‐60::,Uba1::,S6::,PEX5::,Miro1::,APN-1::,PlcA::,LAMP-1::,LC3::,Ift88::,ach1::,VPS35::,mdx::,WIPI2b::,atg19::,SQST‐1::,atg‐2::,lap::,RCAN1::,TAS3a::,Bax::,Bak::,Inn1::,Aβ::,TNFR1::,noc::,Mcm2::,NTR1::,Twi1p::,β5::,IL-33::,FXR::,Ub::,USP8::,Oct4::,Nanog::,Mfa1::,Syk::,NAV3::,Dgcr8::,LGR5::,Terc::,nPTB::,EHD1::,VHL::,Sec16B::,Rubicon::,SlpA::,α-spectrin::,ajuba::,COLVII::,dfmr::,CCR9::,SSEA1::,MDH2::,SIRT3::,GOT2::,HisCl::,Rl::,DER::,miR‐125::,ASM::,Ang1::,XBP-1::,TP53INP1::,miR-203::,Nurr1::,Foxa2::,Acsf2::,Ly6G::,Smad6::,cyclin D1::,atg2::,Snc1::,Snq2::,UBC::,Sgk::,CD11c::,SPC::,ER::,Mac2::,Tex11::,C7::,Dnmt2::,Nrp-1::,CUL3::,WNK4::,Elastase1::,p48::,Nsmce2::,IL-2::,CD107a::,Swi6::,Cnp1::,Sig7::,IL‐8::,VGAT::,γ2::,UnaG::,Ang-2::,CCM1::,YAP::,ral::,sec15::,GAL4::,SLFN11::,CHK2::,CD11b::,TBC1D14::,LC3B::,ULK1::,DCX::,HDAC6::,Tom20::,TFE3::,Lyzs::,miR-10b::,HKII::,CASP1::,SAS-6::,gTbr2::,HlgA::,LukE::,CDH1::,Ucp2::,Prp5::,FOXA1::,KLF6::,ATAD3::,LIF::,Lrig2::,CaMKII::,FIP3::,Rac1::,mdi::,Hist1h1c::,INVS::,vimentin::,GW182::,Nemo::,G45b::,α11.2::,Cav1.2::,SPOP::,nap1::,WRNIP1::,Smad3::,uPA::,a2AP::,Ape1::,ypt7::,IL-12::,miR-122::,ICOS::,Bcl6::,dop-1::,TBK1::,cycb1;3::,SNAP29::,DUSP2::,MAPKKK5::,bactin::,junD::,CASP9::,Chk2::,Rbm26::,METTL22::,E2F4::,Gpr124::,Fabp7::,Stag3::,IL-2Rα::,UBQLN4::,BRCA2::,BCH2::,GASZ::,b-globin::,GATA-1::,Epo::,EpoR::,Aurora A::,cortactin::,fft3::,Gli1::,EGF::,Gata4::,Scl::,rsaA::,DnaJC5::,XIAP::,PGC1α::,UCP1::,miR-21-3p::,c-Jun::,eEF2::,ANG-2::,CHD1::,Nrg1::,mb1::,PSMB5::,IL-1R1::,MOG::,Rad53::,p97::,FBXO7::,GFAP::,Wrb::,CCL2::,β5c::,β5i::,hβ5c::,hβ5::,Apc::,Ccl5::,Ki67
Q00653	IGHA
20657|20655	SOD
P10126	EFTU
58130	TRADD
P04351	Bcl‐2::,ATPase::,Src::,IFT20::,Ref(2)P::,MTM‐3::,tau::,IL-2::,dlrrk::,zyxin::,CDC50A::,α-spectrin::,VE-Cad::,lysozyme::,cyclin D1::,PROPEP3::,UnaG::,PERK::,FoxA2::,OTUB1::,miR-10b::,NAT10::,McIdas::,CaMKII::,MAD1::,Bch1::,GASZ::,EpoR::,Shp2::,miR-517a::,NeuN::,CXCL1::,c-Jun::,VEGF-A::,ANAC032::,Nrg1::,Act::,FBXO7::,STAT2::,β5::,AKT
P36018	Sed5p
Q2PE54	IL-12p40
P49454	CENP‐F::,CENP-F
P16284	CD31::,Pecam-1::,PECAM-1
5896	rag-1
P42771	P16::,p16::,Cdkn2a::,p16Ink4A
8313	Axin2::,Axin-2
Q8NEB9	PtdIns 3‐kinase::,PtdIns 3-kinase::,Vps34::,vps34::,hVps34::,VPS34::,PIK3C3::,PI(3)KC3
O55123	egl‐1::,TDP-43::,sipD::,VmPE-1::,TIGAR::,Atg9::,NAF‐1::,act::,Ulk1::,BAX::,SCOC::,VDR::,Atg8::,Atg5::,PSA::,Rab12::,Beclin 1::,PEX19::,UVRAG::,EGF::,Akt::,ULK1::,polyubiquitin::,Hace1::,HACE1::,TCF4::,Aldh5a1::,Mitofusin::,spns1::,rpl‐43::,VAMP2::,GRI::,PHD3X::,IKKβ::,KSHV‐TK::,noc::,Pdd1p::,BTK::,PR::,IL8::,β1 integrin::,sst1::,TH::,Nurr1::,Ttn::,Smad6::,DDX17::,atg2::,ypt1-1::,Snq2::,Sec13::,DEC::,Tlr4::,R-spo1::,Dnmt2::,YAP::,TGF-α::,Rab8A::,Rpp30::,Cxcl9::,Syt11::,ral::,GAL4::,SLFN11::,PDHE1::,Tie2::,HRAS::,C1qA::,pus1::,SMC3::,MCP::,Fus::,NB-3::,calretinin::,PSD95::,PDGF-AA::,Sufu::,Munc18-1::,αSMA::,ter1::,Ape1::,Ams1::,ypt7::,FUS::,CD25::,DnaK Chaperonin::,Sec63::,doa10::,CD4::,VAPB::,GSK-3β::,LDH::,cdkb1;2::,SOX9::,Chm7::,RAD51::,MALT1::,UBQLN4::,Sec61β::,Apoe::,Epo::,Arl13B::,FBH1::,miR-10b::,Scl::,IL-6::,CXCR2::,miR-132::,Aβ::,ANG-2::,Tailor::,Bin1::,APP::,Gata6::,VE-cadherin::,pep4::,chymotrypsin::,Mdm12::,Mmp10::,MMP10::,MPK4::,EGFR
A0A2P9DTZ1	FoxM1B
368411	Ppargc1b
P15407	FRA1
P04904	Gsta3
Q8QZR5|Q8BGT5	alanine aminotransferase::,ALT::,GPT
3638740	Nyv1
P00418	COIII
18613	CD31
M1T139	Sre2
P09497|P09496	clathrin light chain
P31997	CD66
Q9QZR9	laminin α4
P19111	alkaline phosphatase::,CIP::,Alkaline phosphatase::,ALPI
5015	Otx2::,OTX2
14082	hsc73::,cathepsin D::,lamp2a::,lamp1::,PtdIns 3‐kinase::,AUT7::,Fatty acid synthase::,apg12::,Apg12p::,Apg16p::,Apg5p::,APG16::,apg10::,API::,npc1::,ddit3::,cyclophilin::,Atg8::,LAMP‐2B::,Fpn::,ferritin::,dTOR::,Bcl‐XL::,Bad::,Tsg101::,nicastrin::,hPS1::,APP::,TLN::,IFN-γ::,SipB::,vps-34::,bec-1::,let-363::,rab-10::,daf-2::,daf-16::,Ref(2)P::,ref(2)P::,Atg8b::,hid::,Buffy::,LC3::,transferrin::,BAG1::,sqstm1::,DAPK::,Bcl‐2::,calmodulin::,CaM::,TRAIL::,ACC::,Atg4B::,Rab1a::,cathepsin B::,p62::,WIPI‐1::,Jumpy::,TIGAR::,Beclin1::,VCP::,p38α::,FYCO1::,ORP1L::,BCL‐2::,HDAC6::,htt::,cytochrome::,DHR3::,DRP1::,GATE‐16::,drpr::,Atg16A::,Drpr::,act::,GPi::,Atg16L1::,cholera toxin::,Atg14L::,hVps34::,Hmgb1::,HMGB1::,Rb::,IRGM::,Nrf2::,cyt c::,MCL‐1::,Sqh::,Sqa::,sqh::,Sir2::,RPS6KB1::,Gal80::,Hpo::,yki::,ft::,Gal4::,SOD::,DIC::,red1::,Mcp5::,mei4::,Red1::,PELP1::,MDN1::,LAS1L::,SUMO2::,E2::,ARL8B::,Map1lc3b::,DNase I::,BAX::,JNK1::,InlK::,inlK::,actA::,BI‐1::,BCN1::,TAK1::,TAB2::,TAB3::,RM45::,IκBα::,UNC‐57::,RAB‐11::,mec‐4::,MEC‐4::,UNC‐116::,CK2α::,Rags::,PINK1::,adipose triglyceride lipase::,SCOC::,UVRAG::,WAC::,NDP52::,LC3B::,Rap2b::,α-hemolysin::,SseL::,GAL1::,Pex3::,Ret::,Bim::,ULK1::,Pgk1::,myosin VI::,Tom1::,CYP27B1::,TLR8::,Gli::,NS3::,NS5A::,LAMP1::,p38::,LAMP-1::,mTOR::,sgk1::,RagB::,CD16::,TMEM59::,DEDD2::,calbindin::,LRRK2::,α-syn::,LAMP-2B::,epg-7::,EPG-7::,epg-3::,SQST-1::,LGG-1::,epg-1::,C17E4.2::,W07G4.5::,CREST::,Ubqln4::,IL-18::,p20::,Ripk2::,Trp53::,PSA::,NCAM::,nestin::,PAT4::,Rab12::,NFAT::,miR-212::,atg‐2::,epg‐5::,ALG‐2::,gba::,CerS1::,PrP::,lamin A/C::,MelanA::,XIAP::,CAVII::,survivin::,Atg2::,Atg18::,Atg8a::,Uba1::,Mfn2::,AGO2::,ATG16L1::,MVb::,Gal3::,Atg9L1::,β‐actin::,Beclin 1::,WASH::,Ambra1::,PDI::,PI(3)KC3::,CPY::,Ape1::,msh-2::,msh-6::,exo-3::,H1X.101::,Fbxo7::,ATF3::,LLO::,PlcA::,WIPI‐2::,Mito::,MKP3::,MIC1::,ULK::,Beclin-1::,Vph1::,Aco2::,Idp1::,DAPK1::,PSD-95::,CIP2A::,monoubiquitin::,Pex14::,GSK-3β::,Nppa::,HACE1::,Hace1::,LC3β::,Axin2::,Acs2p::,ach1::,OCT::,parkin::,mNDP52::,Pot1::,S6::,ubiquitylated::,Atg19::,VPS35::,FKBP15::,WASH1::,Dcp-1::,Lon::,invG::,spns1::,mdx::,p47::,TDP43::,TDP-43::,GRL1::,GRL2::,GL1::,NCOA4::,AR::,Ctsd::,atg19::,hrr25‐ts::,TFEB::,rpl‐43::,SQST‐1::,dbl‐1::,lin‐15A::,egl‐46::,CALM::,VAMP3::,VAMP2::,lap::,IL-8::,IL-2::,LAMP-2A::,Thy-1.1::,CD8::,ERdj3::,TTR::,ddm1::,AGO4::,oxytocin::,secretagogin::,prk4::,PRK5::,GRI::,mc9::,Bcl-xL::,Bak::,Bax::,MET3::,Cyk3::,Inn1::,RBM14::,C-Nap1::,centrin-2::,CPAP::,SAS-6::,centrin::,cay1::,Cay1::,H3::,T::,Id1::,ID1::,Upf1::,SEC13::,dlrrk::,SOS1::,HA::,ATG5::,PI5P4K2C::,PHD3X::,Ctns::,Grp78::,Cx3cr1::,Fas::,FasL::,ORF17::,KSHV‐TK::,Rorγt::,spac::,noc::,Spo0J::,TMPRSS2::,miR‐200c::,Mcm2::,DOG1::,DCL1::,Coi12p::,Twi1p::,Rpt1::,Rpn1::,β1i::,β2i::,CDF1::,Dmef2::,DTS::,CG9485::,Dusp5::,Rag2::,SiglecF::,CD11b::,FXR::,HSF1::,GC‐G::,UBE2R1::,Ub::,UBE2N::,UBE2V1::,USP45::,Nanog::,LCK::,THEMIS::,Sec23::,GM130::,Yip1A::,DFCP1::,Mfa1::,DC-SIGN::,FimA::,Ly-6G::,NFATc2::,Dectin-1::,TLR9::,MyD88::,Phb2::,Insr::,EGF::,STAMP2::,F4/80::,EN::,IGF2::,ago6::,TAS3a::,pat1::,Dgcr8::,miR‐290::,LGR5::,Terc::,Wnt4::,PR::,MS2::,PTB::,CD63::,ATP8A1::,EHD1::,TfnR::,MVH::,Gnd1::,ubr1::,Htb1::,TFG::,Sec31A::,Sec16A::,mannosidase II::,Rubicon::,cac::,Becn1::,NRBF2::,caspase-3::,LSD1::,SOD1::,SlpA::,Dlg::,Ex::,βH-spectrin::,Crb::,α-spectrin::,COL7A1::,COUP-TFII::,KCNJ3::,FMR1::,dfmr1::,MORF::,CCR9::,Ccno::,SIRT4::,Shi::,Rh7::,Rh1::,GFAP::,Abca1::,LXR::,Ncoa5::,VHL::,Il6::,miR-210::,Asm::,sst1::,4E-BP1::,NFATc1::,BSA::,BNIP3L::,VDAC1::,ZEB::,Lgr5::,synaptophysin::,Snai1::,Puma::,TH::,IL-4::,glycogen synthase::,ERRα::,Foxo1::,Ly6G::,TNF::,cTNT::,TTN::,Pellino-1::,IKKα::,GRK2::,DDX3::,Coq9::,CoQ10::,COQ9::,ADCK3::,CoQ9::,sec12ts::,Snc1::,Snq2::,PRB1::,PEP4::,prb1::,Sec13::,XRCC4::,K-Ras::,RAP1::,TRF1::,Trf1::,DEC-205::,UBQLN1::,Igf1r::,miR-511::,PIK3CA::,Kcnq1::,DGA1::,pep4::,yeh1::,TGF-β::,Pcbp4::,CCL6::,CD68::,MFG-E8::,IL-1β::,Tex11::,SYCP1::,TEX11::,C7::,LXRα::,Mef2c::,Catnb::,Dnmt2::,Osteocalcin::,periostin::,CUL3::,CAND1::,VDAC::,AID::,Villin::,CK8::,p48::,PHD2::,PHD1::,p53::,IgG2a::,NRP1::,VEGF::,NSMCE2::,BRCA1::,Nsmce2::,CD19::,KRIT1::,alpha-SMA::,VEGF-C::,Vegfd::,E6::,LATS1::,TGF-α::,YAP::,AREG::,MICA::,CD56::,Rab8B::,ubiquilin1::,mitofusin 2::,Siglec‐5::,NCL::,LRRC8D::,Rpp30::,gephyrin::,dystrophin::,strophin a::,PTPRN2::,PLCβ1::,CFL1::,UnaG::,GM-CSF::,Cxcl10::,Ccl2::,Cxcl9::,2d2::,Ang-2::,desmin::,Glut1::,CD206::,caspase 3::,Claudin5::,CCM1::,BMP6::,MEKK3::,Syt11::,CTGF::,Ral::,GAL4::,Atg6::,Ref(2)p::,sec15::,fkh::,sec8::,Su(H)::,notch::,SLFN11::,RPA2::,hsfa2::,PCNA::,MCM2::,LAMP2::,GKN1/2::,H3K9Ac::,H3K27ac::,H3K4me3::,Raf-1::,netrin-1::,Caspase-3::,net-1::,Tie2::,TIE2::,CD4::,Syk::,CD22::,CD45::,sialidase::,Cd22::,TET2::,TRAPPC8::,PP1::,Tcf7l1::,Eomesodermin::,RSpondin1::,cMyc::,nMyc::,PEX::,MAP1A::,RIG-I::,Tom22::,Mic27::,TFE3::,Lyzs::,p38γ::,ANKRD1::,TESK1::,VPS34::,PAQR3::,EFHA1::,OTUB1::,ERK1/2::,KRAS::,miR-10b::,Wbp2::,PITRM1::,CYM1::,VEGF-A::,TLR2::,PCM1::,IFNγ::,Stat1::,Stat2::,Ly6C::,gTbr2::,Cas9::,Tbr2::,LukD::,HlgAB::,LukF-PV::,HlgA::,LukE::,E2F8::,E2F7::,CDH1::,TRPV2::,Ppary::,ATPCL::,atpcl::,MKKK7::,snr81::,PRP5::,snR81::,Prp5::,KLF5::,ZEB1::,FoxM1::,Wnt-3a::,STAT5::,CD41::,Stat3::,Nd1::,IGFBP-3::,CXXC5::,IFT172::,IFT54::,IFT38::,IFT88::,IFT80::,Rad50::,ATM::,γH2A.X::,AP::,Yap1::,FZD4::,MARK4::,ßIII tubulin::,Lrig1::,TrkB::,TP53I3::,CaMKII::,CamKII::,Rnaseh2b::,Sld3::,HIF-1α::,Ubc9::,53BP1::,eIF4E::,eIF4A::,FH::,MCP::,mdi::,MDI::,Fus::,Hist1h1c::,Trove2::,SMN::,PTPσ::,NB-3::,PSD95::,APH-1a::,PS1::,INVS::,Akt::,h3.3::,Igλ::,SirT7::,SIRT7::,Fbxl17::,Sufu::,DHFR::,Get4::,Mdy2::,Scs2::,Munc18-1::,CB1R::,GW182::,MALAT1::,DDX6::,VCAM-1::,p150::,CD31::,G45b::,Lepr::,Cd36::,FABP1::,IFN-b::,Ifnar1::,Rab34::,RILP::,β2AR::,α11.2::,GluA1::,Gli3::,SMCR8::,RAB39b::,ATXN2::,H2A::,Nap1::,H2B::,WRNIP1::,ICP27::,TBK1::,TGFR1::,Smad2::,Notch3::,Apoe::,IRE1α::,miR150::,XBP-1::,BIM::,CLU::,SEPT6::,IcsA::,uPA::,uPAR::,VN::,Plg::,mdm10::,mim2::,ter1::,Trt1::,trt1::,EGOT::,ISG15::,VPS39::,Fstl1::,S100a4::,α-SMA::,CD25::,IL-12::,AKT1::,cat-1::,Ago2::,HuR::,C9orf72::,FIP200::,Hcp1::,ADH1::,lro1::,Vma12::,GPAT4::,ICOS::,Pou2af1::,CD62L::,OVA::,PD1::,NavMs::,USP19::,USP13::,ISG56::,Nde-1::,ERp57::,SV2::,VAPB::,PTPIP51::,FUS::,PKCB::,Tbk1::,ubiquitin::,GSDMD::,NSUN3::,ABH1::,STIL::,cycb1;4::,cycb1;2::,cdkb1;2::,cdkb1;1::,Snap29::,MAD1::,KNL1::,SNAP29::,SOX9::,FBW7::,DIS3L2::,CD20::,FGFR1::,NRG1::,HOIP::,LUBEL::,Ctip2::,Nup170::,Chm7::,PBL27::,MAPKKK5::,CERK1::,MKK4::,bactin::,igfbp5a::,ins::,igfbp1a::,gcg::,pdx1::,NTR::,junD::,RNF8::,Acyl-CoA Thioesterase 7::,FIX::,F9::,T7E1::,ARSA::,PKCδ::,MET::,Chk2::,AKT::,HGF::,Gata1::,Dis3l::,Nrxn1::,Wbp5::,Gdpd4::,CD34::,nat4::,NAT4::,pnc1::,ste5::,Gemc1::,Mcidas::,FOXJ1::,CARD14::,CYLD::,A20::,MALT1::,SYCE2::,Smc1β::,IL-2Rα::,UBQLN4::,ORP5::,TPO::,CD42::,RBM15::,Drp1::,Sept2::,cytocrome c::,Sirt5::,IDH2::,HUWE1::,FRA3B::,Pkd2::,NF-YB::,Cop1::,Apm1::,Bch2::,Chs5::,Chs6::,CHS6::,Pin2::,GASZ::,Dln1::,GATA-1::,Trpml1::,amylase::,Epo::,p27::,SHIP1::,noggin::,Epcam::,BLM::,PALB2::,fft2::,EpCAM::,CD44::,dsi::,PI3KCA::,Eng::,GLI3::,Smo::,Shh::,LAPTM4B::,Scl::,ASC::,NLRP3::,Shp2::,DESMIN::,Tuj1::,Igsf10::,GPX1::,USP9X::,FADD::,miR-21::,TGFB1::,p21::,c-kit::,CCL3::,GLT-1a::,cGAS::,IFN-β::,UBQ10::,UbcH7::,HHARI::,SPATA2::,PRR7::,c-Jun::,Dsl3p::,FATE1::,Caspase 3::,RAD21::,miR-132::,TOMM20::,LIMT::,HBsAg::,CX3CR1::,Iba-1::,FOXA1::,Lamp1::,Cyt c::,PGC-1α::,CCND1::,TRPA1::,Anp1::,ReaChR::,ANG-2::,Notch1::,Dia1::,HBHA::,I-SceI::,IFITM3::,Gadd45a::,Ulk1::,Bcl2::,Gr1::,FRB::,dmDis3l2::,IP3R3::,Sig1R::,spectrin αII::,Mtmr2::,Vegf-a::,BACE1::,Ahr::,Act::,CSF1R::,TAZ::,IL-1R1::,MOG::,PTx::,Rag1::,Caspase3::,Gata6::,GRWD1::,Net1::,spc110::,CSPα::,MYD88::,Tlr3::,Hcp::,STAT2::,VE-cadherin::,CD24::,p97::,α6::,syntaxin 6::,FBXO7::,PSMA2::,chymotrypsin::,NURR1::,Th::,hrcC::,SLP2::,CCL2::,28S::,Clpp::,Eral1::,Mdm12::,β6::,β5::,Oskar::,Dic::,troponin I::,Pten::,Apc::,ER::,Huwe1::,KRas::,Ki67::,Pdx1::,PR1::,PR2::,Oct6::,SMA::,C3b::,HMGA2::,RNF114::,TAB1::,Tab1::,Aβ
A1EC31	Esr41
P10107	ANXA1
1494446	Cux1
P36122	Bch2::,BCH2
A0A081MCH9	mCh-AS3_67
A0A0E3F5C1	SYN
12798017|12798016	miR-2a
P01575	APG5::,ATG1β::,DHR3::,TAK1::,Atg13::,miR-132::,DFCP1::,ROCK1::,XIAP::,spns1::,SQST‐1::,ATG12::,AVP::,HSF1::,Brca1::,IFN-β1::,COQ7::,Tnc::,ERK5::,MCM4::,eIF2::,IFN-β::,IFN-b::,IFNβ::,Ifnβ::,Ubc9::,Nemo::,TBK1::,LUBEL::,c-Kit::,MALT1::,GASZ::,CYLD::,ZEB1::,mdx::,Mtmr2::,ROCK::,FBXO7::,Miro1::,TAB1
6729	SRP54
2146	Ezh2
Q7YR76	Myocd
O88898	p63
18125	nNOS
396263	ACTN2
12894	CPT1
24388	Gfi1
P00472	EcoRI
81859	SHARPIN
855954	PtdIns 3‐kinase::,aut7::,apg16::,APG5::,apg5::,Apg5p::,APG10::,β‐galactosidase::,GATE‐16::,Tsg101::,rab24::,polyubiquitin::,caspase-3::,Atg5::,rl::,TRAIL::,RagC::,dRagC::,TIGAR::,ATG10::,FYCO1::,LC3::,NAF‐1::,BCL‐2::,DHPR::,ubiquitin::,huntingtin::,succinate dehydrogenase::,GABARAPL1::,Drpr::,cholera toxin::,Hmgb1::,VAMP7::,DRP1::,IRGM::,Foxg1::,p130::,Sqa::,ZIPK::,S6::,inlK::,caspase‐1::,TAB2::,SCOC::,FEZ1::,Pho8::,Pex11::,Bim::,Atg29::,p24::,atg5::,Atg12::,MCUR1::,DEDD2::,GFAP::,LAMP-2A::,SQST-1::,s5a::,Gal4::,PrP::,Atg2::,Atg4B::,p62::,WASH::,calnexin::,PDI::,Atg8::,Rosa26::,Pex14::,ACS2::,Armadillo::,PINK1::,SDT1::,spns1::,TDP43::,CTSD::,bp412::,LAAT‐1::,rpl‐43::,sma‐3::,lin‐15B::,rpt‐3::,mtm‐3::,VAMP2::,Dendra-tau::,IL-8::,GRI::,STIL::,SPBC2A9.02::,BACE1::,PR-SET7::,KSHV‐TK::,Noc::,Hsp82p::,Dmef2::,PCDH7::,OTULIN::,AP::,NY‐ESO‐1::,Sec61α::,Phb2::,Igf1r::,Insr::,miR‐17::,LGR5::,IP3R3::,ufd-2::,Cldn3::,SIGNR1::,COL7A1::,COLVII::,COUP-TFII::,FMR1::,CEP164::,GOT2::,MDH2::,LXR::,ISCU1/2::,IL-6::,CTLA-4::,synaptophysin::,TH::,Foxa2::,AChRα::,TTN::,Pellino-1::,Il6::,cyclin D1::,Coq9::,sec12ts::,PEP4::,XRCC4::,PARP-1::,Trf1::,K-Ras::,TLR9::,DEC::,H19::,Mac2::,Acta2::,vitronectin::,tenascin-C::,Bnp::,LXRα::,Catnb::,CUL1::,p48::,casein kinase Iε::,YAP::,MOB1::,NKG2D::,IL‐8::,Siglec‐14::,BMP6::,SMAD1::,ade6::,fkh::,sec3::,P18::,raptor::,ABL1::,TRAPPC4::,TRAPPC8::,IFN-β::,Lyzs::,p38γ::,miR-10b::,ABCB8::,VEGF-A::,IRF9::,Cas9::,gTbr2::,E2F7::,TRPV2::,acetyl-CoA::,KLF5::,FoxM1::,Socs3::,NDUFB8::,TrkB::,FIP3::,RanGAP::,MDI::,Fus::,CtBP2::,Igλ::,Fbxl17::,AGO2::,MALAT1::,p135::,Rab34::,GluA1::,MVIIC::,LC3B::,P62::,FBH1::,TBK1::,TGFR1::,miR-150::,CLU::,Drp1::,VN::,uPAR::,imp1::,HuR::,ICOS::,Pou2af1::,GSDMD::,CDKA;1::,SOX9::,Chm7::,glucagon::,igfbp1a::,H2AX::,Hcfc2::,Hal::,POLD4::,POLD3::,Ngn1::,CYLD::,MALT1::,RAD21::,ORP5::,Sept2::,cdk1::,AIFM1::,Dln1::,GATA-1::,KV10.1::,PTEN::,ptch2::,Scl::,p27::,Ret::,miR-21-3p::,GLT-1a::,c-Jun::,F4/80::,MITF::,SPATA2::,rbd2::,ANG-2::,Gadd45a::,Mtmr2::,Il-1β::,CD45::,ATF3::,DIAP1::,IL-1R1::,Gata6::,CoQ10::,SHARPIN::,α6::,Wrb::,β5::,LLO::,Huwe1::,Oct6::,Tab1
78610	UVRAG
310612	ILF2
Q99JX3	GRASP55
Q09357	either
O88763	PtdIns 3‐kinase::,PtdIns 3‐K::,Vps34::,vps34::,VPS34
Q6FP42	rny1::,Rny1
P25516	RyhB::,ryhB
P11655	Sec12::,Rer1p
P06748|Q61937	NPM
4288	Mki67
