J7HCD4	hCD4
109894288	B1‐b
299587	CASP14
P01137	GATE‐16::,daf-15::,Bim::,GNL2::,TGF-β::,CEP164::,TGF-β1::,Tgf-β1::,IgG2a::,DNase I::,Trpv3::,Wnt-3a::,MARK4::,TGFβ1::,TGFβ-1::,TGFB1::,Cdk1::,VEGF-A::,EGF::,TGFβ
100505415	LNA2
43163	exo84
269346	Slc28a2
P10451	Spp1
34716862	Hsp150
P06754	Tm1
850620|854658|853969|850864	ubiquitin::,Ubiquitin
Q9Y6D9	MAD1::,SPATA2::,spata2::,mAD
12729231	chuA
79264	aut7::,apg16::,npc1::,LGG-1::,Rb::,Beclin‐1::,Pla1::,caspase-1::,lgg‐1::,LC8::,Ripk2::,p20::,epg‐5::,Beclin1::,VII::,Miro1::,S6K1::,HACE1::,β‐catenin::,ypt7::,TDP43::,VAMP3::,IL-2::,Bak::,RBM14::,Cay1::,irk3::,CTNS::,CD14::,β1i::,pol32::,rpb1::,GC‐G::,USP45::,Phb2::,AGO4::,Matrin3::,VHL::,SOD1::,Asm::,Snc1::,Acta1::,Id1::,KRIT1::,MICA::,CISD1::,NCL::,LRRC8D::,Mapt::,CFL1::,BKK1::,CCM1::,Ccm1::,Syt11::,PP1::,DCLK2::,DNase I::,OTUB1::,HKII::,Akt2::,MCIDAS::,KLF5::,LIF::,sororin::,IFT52::,mdi::,PDGF-AA::,RNAseHI::,Rad23::,SC-35::,SPOP::,VPS41::,miR-122::,CAT-1::,IL-21R::,Pou2af1::,FUS::,cycb1;2::,LUBEL::,igfbp6b::,CARD14::,Rec8::,ORP5::,CCNA::,Apm1::,Fft3::,Sst::,Ret::,Usp9X::,INPP5E::,EEA1::,ANG-2::,CD206::,PEX13::,λ-PPase::,Myd88::,p97::,pep4::,OVA::,Huwe1::,Cxcl9::,mkk2::,mkk1
P34854	ND5
10448115	RRP
O14713	integrin β1
100139952	Gfi1
B6S6C6	Cspa
Q9FL28	FLS2
Q8N5G2	mAco
5732	Ptger2
P35550	fibrillarin
P07901|P11499	Hsp90::,HSP90::,hsp90
403079	igfbp3
Q9BLM6	TM3
17163309	Scc1
319974	Auts2
Q9QXV1	Mpc3::,mpc3::,MPC3::,MPC
Q9UJZ1	SLP2::,Slp2
100038089	vegfaa
1294	Apg16p::,SQSTM1::,M45::,Atg36::,myosin VI::,IL-18::,Ripk2::,ALG‐2::,PrP::,KAP::,Ift88::,ATPsyn-α::,NFAT1::,Id1::,HNF4::,Noc::,Dusp5::,ago4::,COL7A1::,E‐cadherin::,Snai1::,TH::,TNF::,Snq2::,DEC::,rpoE::,C7::,PAI1::,F4/80::,Bmp6::,FRB::,miR-10b::,NAT10::,LukSF-PV::,LIF::,INVS::,GluA1::,α11.2::,SEPT6::,uPA::,PKCB::,GSDMD::,Eci1::,METTL22::,Dcx::,TPO::,Gata4::,Hrr25::,TOMM20::,Huwe1::,SUMM2
P20152	vimentin::,M45::,gba::,GBS β::,CD11c::,synaptobrevin 2::,Vimentin::,SYCE2
O43019	Sre2::,sre2
Q8SWL3	ENP-B::,ENP
A0A0X8E9X8	FcγR-I
Q03393	Ser19
99375	CUL4A
P02452	collagen1::,Col1::,Collagen1
Q19PW5	GRA6
P54277	PMS
O49286	Skp2
O96017	DAPk::,yki::,Tcfeb::,α-hemolysin::,KSHV‐TK::,chk2::,CHK2::,Chk2::,Myb::,YAP
850654	Mmm1::,mmm1
Q9NRH3|P23258	γ-tubulin
P23258|Q9NRH3	γ-tubulin
Q15329	E2F5
O60488	EEA1::,FYCO1::,htt::,MITF::,NCAM::,KAP::,ULK::,MTM‐3::,Phb2::,LRP6::,MVH::,LAMP-1::,gephyrin::,PTPRN2::,glycogen synthase::,FACL4::,miR-122::,ORP8::,CCNB2::,MCP-1::,Vph1::,PS1
Q9NFX2	cytosolic aconitases
834623	SENP3::,titin::,DOG1::,nPTB::,EHD1::,TRA‐1‐81::,MDH2::,Coq5::,LAMP-1::,OTUB1::,Sec23
Q8IQ56	Mfn
Q9NZB8	Elp123
P12904	SUC2
P08637	FcγRIII
55486	PARL::,Parl
5194	PEX13
792194	SNAIL2
9554	Sec22b
P24279	Mcm3
Q01196	AUT7::,FYCO1::,TFAM::,LRRC8D::,APX2::,RUNX1::,Runx1::,Lyzs::,c-Jun::,RUNX::,runx1::,CD31::,ER
Q9VWX8	FRQ
P11495	Msn1
856148	H subunit::,subunit H
2581	npc1::,rab-10::,vps-34::,ULK1::,Ctsf::,rhodopsin::,CD28::,CD45.1::,PRK5::,CD4::,Sar1::,NFATc2::,MyD88::,EGF::,CACNA1A::,IRX4::,PLK-1::,LXR::,PGC-1α::,Dnmt2::,Sema3C::,CD11b::,YAP::,T1::,IFT57::,Yap1::,Rad53::,Trove2::,Snrpb::,INVS::,Scs2::,AGO1::,Ifnar1::,ATXN2::,CXCL10::,AKT1::,heh2::,junD::,GALC::,Mavs::,UNC-61::,HOXD10::,Ret::,FBW7::,Brca1::,CCR2::,CCM1::,IL-1β::,Oct6
P15357|P18101|P0CG69	Emerin::,Ub::,DAPk::,UBQLN2::,TGN46::,p38IP::,clathrin heavy chain::,HMGB1::,red1::,dBI‐1::,TLR8::,JFH1::,Atg30::,UB::,PDI::,Ape1::,TCF4::,Gr-1::,NCOA4::,WIPI2::,spac::,Yip1A::,Dgcr8::,NCOA5::,ADAP::,ypt1-1::,CENP-F::,Kcnq1::,Asma::,p48::,MICA::,Rab8A::,RPA2::,SLFN11::,htt::,H3K27Ac::,MLC2a::,TRAPPC4::,Mapk13::,Lyzs::,VEGF-A::,snr81::,ChAT::,PTPσ::,INVS::,FLCN::,TGFR2::,CLU::,imp2::,ISG54::,HEC1::,Scl::,Gemc1::,CARD14::,HUWE1::,TRPML1::,fft3::,Aco1::,UbcH7::,IL-1R1::,α6::,CD34::,Mdm12
3354888	rl::,Rl
60445	Tsc1::,TSC1
33211	Ada
P80748	Lambda
10921456	CITN
9821	Apg5p::,APG16::,FIP200::,RB1CC1::,Bcl-xL::,VDAC1::,epg-6::,LC3‐C::,mpn1::,FXR::,C7::,CUL3::,Mapt::,CHK1::,Tead4::,Tamas::,INVS::,FUS::,Aurora Kinase A::,DICER::,UBQLN4::,BAG6::,noggin::,IP3R3::,p97
5045	galectin3::,Signr3::,Furin::,dga1::,INPP5E
Q7YZ95	Skp2
8713051	T6SS
51407	NCX
48782	Mtr4
42742	CΔIR
110809	p27KIP1::,mcp5::,Ret::,Lon::,Mgat3::,ATP8A1::,XBP-1::,IFNγ::,ERK5::,RPA1::,DCC::,CD22::,SRSF1::,nat4::,Srsf1::,CD16
493508	NDRG1
P97480	SIX4
P09616	α-amylase::,LAMP::,Yki::,mei4::,α-hemolysin::,Hla::,CREST::,Miro1::,CHK-1::,spns1::,MTM‐3::,MAP-2::,CD45::,FXR::,UBE4B::,SlpA::,γ-H2AX::,BCR::,CXCR4::,Shi::,PECAM::,atg19::,MFG-E8::,Tex11::,CUL3::,VE-PTP::,BRPF3::,CTGF::,VEGF-A::,pus1::,Nanog::,EGOT::,Pgc1::,POU3F1::,SYCP3::,Tie2::,Caspase3::,Coq9
Q9Z2B5	p55::,drpr::,Foxg1::,Sqa::,OCT::,PERK::,TMEM59::,CREST::,Dynamin::,invG::,Atg11::,Cay1::,PCDH7::,UBE4B::,MEK1::,CD22::,gTbr2::,Stat3::,Rnaseh2b::,h3.3::,SPOP::,SmD3::,Bob1::,cycb1;1::,JAM-A::,Chm7::,Jagged1::,CARD14::,X-chromosomes::,lysosomal acid phosphatase::,RAD21::,Net1::,Oct4
Q89714	Ah
P14152	Mdh1
P53565	Cux1
P08238	hsp90ab
P13589	adenylate cyclase
18128|18129|18131	Notch
O70126	Aurora B::,AURKB::,aurora B::,Auro B::,Aurora kinase B
3110	Pla1::,ATF-2::,Pex8::,KLHL3::,YAP::,STING::,Hb9::,HB9::,PGC1α
66734	LC3::,Lc3
26636288	IP-10
855895	Pgc1::,PGC1
P43116	Ptger2::,EP2
A0A110ASW0	VSV-M
100479123	CD84
101461191	KPC2::,kpc2::,Kpc2
P21954	Idp1
2920	CXCL2
F1LRS8	CD2AP
100686578	Mki67
A1KFU9	HBHA
P51128	RXRa
P35712	SHOX::,shox
P21793	XeC
100388494	MARE2
29542	RKIP
1847	DUSP
45525	SipB::,DAPK::,PMP70::,epg-7::,Idp1::,IBA-1::,IL‐2::,UBC::,SYCP1::,CD22::,KIF5B::,chm::,USP5::,eIF-4E::,eIF4E::,MAPKKK5::,Hand1::,PS1::,STAT2
52906	SipB::,IMC1::,Ret::,FUNDC1::,Sec61α::,Swi6::,YAP::,Ahi1::,Nanog::,CCR2
F2WX25	PLAA
7147650	SgrS
P9WJ63	HBHA::,16S
Q7L622	G2M
855602	Tom70::,tom70::,TOM70
67790	Rab39b::,RAB39b
Q9UHX1	FUBP1::,Fubp1
448060	MRLC2
442916	miR‐371
Q9Z1E4	Mcip1::,glycogen synthase::,Coq9::,CD206::,LukE::,chm::,Pli::,IL-6Rα::,Trpml1::,SMAD7::,RAD21::,Clpp
885903	pra1::,Apg5p::,APG12::,vitamin D receptor::,TRAIL::,TIGAR::,p38IP::,DHPR::,clathrin heavy-chain::,eis::,Eis::,MCL‐1::,ZIPK::,ura4::,InlK::,optineurin::,CREB::,α-syn::,SQST-1::,HEC1::,Ripk2::,SOX2::,Rab12::,Atg32::,GEMIN4::,RINT-1::,LLO::,PEX10::,p22phox::,Atg16L1::,rpl‐43::,Inn1::,ApaI::,Cdh1::,Noc::,Coi12p::,USP21::,Yip1A::,NOD2::,STELLA::,Prmt5::,α-spectrin::,COL7A1::,SIRT3::,Abca1::,miR-210::,Tie2::,ZEB1::,Snai1::,TH::,CD34::,Coq9::,Snc1::,EEA-1::,Smad2::,angiotensin II::,p48::,AID::,claspin::,Il23::,Ang-1::,fkh::,hsfa2::,HSP18.2::,cTNT::,miR-10b::,Wbp2::,VEGF-A::,Plk4::,E2F7::,Trpv3::,Ucp1::,FoxM1::,LIF::,Stat3::,miR-515-5p::,FUNDC1::,cytokeratin 7::,ChAT::,PTPσ::,GluR1::,Fbxl17::,ERK1::,miR-29b::,IFN-γ::,VN::,ter1::,Ape1::,CD63::,HuR::,lro1::,PSD95::,cycb1;1::,Snap29::,SOX9::,miR-34::,igfbp1a::,Ago2::,nat4::,Tis21::,CARD14::,SYCP3::,ORP5::,KV10.1::,PALB2::,fft3::,p27::,Nqo1::,CXCL10::,IL1B::,miR-132::,LIMT::,Nrg1::,MYD88::,Fabp1::,KRas
P23771	Gata3::,GATA-3
5180	PEO1
O54918	βCTF::,BIM::,eIF2::,Bim::,F4/80::,Yip1A::,CCR9::,CP110::,ru::,αSma::,C1q::,Rab13::,Swi6::,SDHA::,ICAT::,Rab34::,Dio2::,ORP5::,Mpc1::,Trif::,hrcC
P62838	Ubc4
P60521|P60520	GATE‐16
2541044	Sre2::,sre2
Q9LRR9	GLO::,Glo
854081	Dsc2::,dsc2
Q06259	P1
P15269	sp70
10397	NDRG1
P22893	TTP::,TIS
24943666	zapB
1432|6300|5600|5603	p38::,P38
8341887	myosin V
326974	GABARAP
111681506	S36
26401	mekk1
P26952	IL-3
Q5PQP8	CUEDC1
154605	NGS
P60904	DnaJC5::,CSPα
7251	Apg12p::,Tsg101::,Epg5::,Il18::,MTM‐3::,PCDH7::,Lamp2::,DTA::,Braf::,Lyzs::,SRSF1::,igfbp1a::,SIRT5::,NLRP3::,RAD21::,Gadd45a::,SERCA
Q7L2J0	7SK
937482	Clpx::,CLPX
77945	RPGRIP
P51787	LQT1::,JLNS
320404	ITPKB
Q63942	RAB3D
Q9R210	Met25::,catD::,TRAIL::,HMGB1::,Vti1b::,Sqa::,srtA::,TFEB::,GAL1::,Ape1::,NS3::,Ubqln4::,atg30::,col‐10::,gba::,lamin B1::,Muc2::,Bak::,MET3::,CTNS::,PNGase F::,FXR::,USP15::,Phb2::,DARS::,PLK-1::,Shi::,miR-210::,IL-10::,C7::,Sema3a::,NSMCE2::,SMC5::,Mapt::,PROPEP3::,DTX::,2d2::,Tcf7l1::,OTUB1::,Stat1::,USP5::,TLSs::,PS1::,IGVLR::,FLCN::,uPA::,VN::,Cox2::,ADH1::,Bob1::,nat4::,Tbr2::,Eno1::,UBQLN4::,GASZ::,EpoR::,PALB2::,Ccl5::,c-Jun::,Iba-1::,caspase3::,CD45::,Fabp1::,S100a4::,Apc
Q2KN22	FcRn
P70671	OXA1::,ach1::,Ctns::,Msi1::,SMAD2::,Nsmce2::,desmin::,BMP6::,IRF3::,Apoe::,CPAP::,Mtmr2
2533	ADAP
506250	HCCS
16948	TLN::,p38IP::,dBruce::,wts::,CA II::,survivin::,Atg2::,AFG::,Bak::,CPAP::,Ctns::,KSHV‐TK::,TAB2::,Syk::,PIK3CA::,LOX::,Lox::,CFL1::,Pep2::,UnaG::,CD22::,Dyn1::,miR-10b::,Akt2::,Aldolase::,YAP
14633	Atg16L1::,Pho8::,Gli2::,GLI2::,FKBP15::,Dcp-1::,TDP43::,Twi1p::,CCM1::,alkaline phosphatase
1489592	VP1
5873	RAB27A
856681	SPF1
P32341	Vma12
170689	Ts15
59010	Sqr
540444	Hmgb2
493856	catD::,NAF‐1::,Bim::,Mbd2::,miR-511::,PUMILIO2::,ETS1::,TFE3::,igfbp1a
3168507	DDL::,ddl
O42127	FGFR3
O02649	Hsp60::,HSP60
O94953	Jmjd2b
Q9WUU8	TNIP1::,Tnip1
100689395	TfR1
18587	rd1
P52286	NEX::,Nex
528	ATP6V1C1
Q02939	TFB
501872	CD84
P08563	Khc
9649	RALGPS1::,Ralgps1
Q2KI43	caveolin-3::,Cav3
Q8UUJ9	Cxcl12::,CXCL12
Q8CGY6	Unc-45b
342	lincRNA
P62492	Rab11a::,Rab11::,RAB11::,RAB11A::,Rab17
6775073	Cox3
P47806	invG::,MuRF‐1::,RpL27::,p24::,Gli1::,Atg16L1::,SH3PX1::,ATF3::,GLI1::,Ltbr::,noc::,CO::,NY‐ESO‐1::,GRK5::,Atg-1::,Snc1::,MEK1::,Tgfbr2::,LYVE1::,CD4::,TAZ::,LIF::,TGF::,IL10::,HuR::,doa10::,MAPKKK5::,AP2A1::,Ago2::,Gli::,Scl::,gp120::,Clpp::,LLO
Q69ZF7	CNNM4
103172633	Peripherin
Q15042	TuJ
A0A221T628	Scc1
Q01705	NAF‐1::,MKP3::,SPR-4::,SLC7A11::,Lgr5::,ypt1-1::,SPAK::,CFL1::,TBPH::,p21::,IFT57::,TrkB::,Notch1::,Dll1::,notch1a::,NOTCH1::,Mdm12
104533643	securin
6240876	miR158B
12671	SH3PX1::,Bak::,Sema3C::,cid14::,MCU::,M3R::,Smc1β::,CX3CR1
Q19849	EGL
34716860	Hsp150
103841	CUEDC1
P07351	IFNα4
Q9FFD9	seipin
100033679	miR-155
47396	dTOR::,Tor::,ap::,epsin 1::,MCL‐1::,NALP3::,Tom70::,CrkII::,CnA::,ALDH1A1::,Swi6::,TLR8::,uPA::,GSDMD::,Trpml1::,PALB2::,SMAD7::,VE-cadherin
1051	CEBPB::,RINT-1::,Atg19::,mannosidase II::,fab1::,AID::,LYVE1::,Plk1::,ATPCL::,Klf4::,WRNIP1::,CK8::,FN1
P02533	K14::,club
Q9BQQ3	Grasp65
16779	laminin α5
P39749	Fen1
Q8BB27	p29
54250	FGF-2
80509	Med8
29924	DHR3::,epsin 1::,epsin::,PMP70::,PI3K p110α::,TDP43::,Rpn1::,Cacna1a::,MDH2::,prb1::,Tsc22d3::,Siglec‐5::,VEGF-A::,pus1::,ESCO1::,Nde1::,NSUN3::,Mpc1::,Ulk1
905135	PNK
A0A127A3L7	α-SA
288562	TfR::,TFR
Q8R1I1	dTsc1::,Ltbr::,Swi6::,SLFN11::,mRPL19::,NB-3::,Su9::,Gata6
P43593	dTsc2::,clathrin heavy chain::,COII::,Atg30::,SSADH::,WASH1::,Dcp-1::,leptin::,Rpn1::,Yip1A::,CDC50A::,CACNA1A::,TRA‐1‐81::,MEK1::,TET1::,CLIP-170::,SUMO2::,NB-3::,Ubp6::,SPOP::,ATP8::,Gpr124::,KV10.1::,IL6::,CXCR2::,F4/80::,HIF::,Bcl2::,mkk2::,CD68
252803	Tb
109876709	B1‐a
109694597	seipin
3169	cortactin::,Smurf1::,TAB3::,TAB2::,BCN1::,UBE2T::,Tfn::,TNF::,AREG::,FOXA1::,RagB::,Tie2::,Lyzs::,IL-21R::,CHS6::,HIF::,CCL2::,Clpp
Q9Z2E9	seipin::,BSCL2
Q9USP1	Elp4
Q1KQ07	STAT6
23458	ABCB5
P04247	myoglobin::,Myoglobin
O46680	TGFBR1
D4Z2G1	26S
P47896	CETP
P32656	gluthathione
Q9Y2Z0	SGT
18549	PC2
P70313	MCL‐1::,eNOS::,Atg29::,Atg6::,Epg5::,ATPsyn-α::,LXRα::,Apc::,NSMCE2::,AREG::,VEGF-A::,atpcl::,IFT80::,Aldolase::,USP19::,POLD3::,MVH::,Ret::,Coq9::,VE-cadherin::,p97
Q02487	Dsc2
35422	eEF2
116509	Slc6a9
29604	BFT
3346216	miR-124
40221	CLC::,Clc
P35244|P27694|P15927	RPA
P20111	ACTN2
P32081	Cspa
14283	p19::,unc‐104::,MCUR1::,LAMP2::,Fosl1::,Snail::,VGAT::,GABAAR γ2::,Pou2af1::,Sororin
B0R0I6	CHD8
P11708	malate dehydrogenase
11774434	GlpG
799612	PRL2
A2ARP1	Lyl1
F1QCA7	notch1b
440738	LC3‐C::,LC3C
309451	Gbf1
72341	Elp6
16975	Hmgb1::,c::,ULK1::,CRH::,spo0J::,Dusp5::,Igf1r::,UBE4B::,MDH2::,NRP1::,AREG::,Syt11::,Syb2::,IL-12p35::,ApoER2::,ter1::,Atg19::,NS1::,OAT::,MALT1::,VAMP2::,ob::,RPA1::,SOD1::,CCM1::,TRIF::,β5i
445380	cd41::,CD41
Q9NRP0	DC2
58208	Bcl11b
192232	hps4
5872	Rab13
18985	SipD::,TIGAR::,VCP::,p38IP::,MVP::,FEZ1::,Tom1L2::,CD63::,atg-3::,invG::,γ-tubulin::,rap1::,FXR::,LGR5::,PTB::,FMR1::,LXRα::,Sema3C::,TGF-α::,Mapt::,PLCβ1::,PTPRN2::,KLF4::,ABL1::,TRAPPC3::,Ly6G::,CtBP2::,FGF::,CDC42BPA::,Fus::,αSMA::,Cdk1::,Bob1::,Pou2af1::,USP19::,SOG1::,insulin::,HGF::,CYLD::,SYCP3::,HUWE1::,Dln1::,fft2::,CD4::,diphtheria toxin::,Trif::,STAT2
P26196	neurofilament H::,α-spectrin::,Nsmce2::,DDX6::,FKBP::,CSR28::,ULK1::,MFN2
280936	SV2A
6935	API::,daf-15::,Eis::,Sqa::,SIRT1::,IL-1β::,RAB‐11::,AHCYL2::,CYP27B1::,CD16::,miR-212::,SH3PX1::,galectin3::,Fap-1::,DAPK1::,Atg19::,IL-2::,Bak::,trt1::,CrkII::,Zeb1::,COI12::,Dgcr8::,THEMIS::,FimA::,Terc::,Matrin3::,Rh1::,ZEB1::,survivin::,ZEB::,Ly6G::,Ttn::,ypt1-1::,Mac2::,Npc2::,Tsp1::,Asma::,tenascin-C::,periostin::,E6::,CHCHD10::,TBPH::,ETS1::,miR-10b::,Trpv3::,KLF5::,Mcm4::,APH-1::,INVS::,AGO1::,ICP27::,FRS2::,ypt7::,FUS::,AKT1::,miR-34::,glucagon::,Prdm16::,Multicilin::,SYCP3::,Scl::,Flk1::,ASC::,rhodopsin::,CCM1::,CD68
P01602	IGKV
12369	Casp7
A0A218KKQ2	Msn1
20225443	est2∆
Q8CDE2	CCIN
723868|100190765	MVP::,PDH E2/E3::,spns1::,YAP::,BAK1::,USP5::,cGAS::,FN::,CYCB1;1::,miR-449::,Stag3::,IFN-β::,UBQ10::,Cdc48::,Oct4
Q9UHD9	UBQLN2::,HMGB1::,InlK::,EPG-7::,epg-7::,ATG16L1::,Ctns::,GADD45β::,miR-34::,Scl::,CXCR2::,F4/80::,PS1
P22314	UbE1::,Ube1
Q9LV87	Pep1
Q91029	Wnt1
297727	MRPS35
257397	TAB3
11911	ATF4::,casp-1::,atg34::,vps‐34::,ZEB1::,p48::,MICA::,sec8::,TAZ::,MALT1::,CD62L
289095	Nmnat2
43808	GW182
Q92922	BAF155
Q5F4A3	AN32E
P40319	sre1::,Sre1
Q5VZM2	pha-4::,calmodulin::,RagB::,Bak::,Mmi1::,Atg36::,galectin3::,WASH::,C2::,da::,HACE1::,Cyto C::,Atg16L1::,dbl‐1::,centrin1::,PR-SET7::,NAV3::,Terc::,TFG::,SlpA::,albumin::,Crb::,SPTAN1::,NCOA5::,arginase::,citrate synthase::,Sec13::,IFN-α::,net-1::,CD4::,Stat3::,Rnaseh2b::,INVS::,Sufu::,WDR41::,Collagen1α2::,PLAU::,CD63::,GPAT4::,HUWE1::,CHS6::,Chs6::,EpoR::,Scl::,Sst::,ERK2::,FOXA1::,caspase3::,Act
146712	βgal
8031	Rap2b::,IL-18::,NCOA4::,NCOA4-1::,Aβ::,KRIT1
P07861	CD10
13917239	Cspa
8713050	T6SS
340273	ABCB5
406992	Apg5p::,CD16::,atg30::,AIN‐1::,MnSOD::,scramblase-3::,CLIC4::,VPS26::,CTX::,mc9::,CrkL::,PrP::,miR-210::,Nurr1::,rhodopsin::,Sema3C::,Lyzs::,miR-10b::,Gli1::,VN::,CAT-1::,USP19::,calreticulin::,cGAS::,RAD21::,YAP::,MOG::,PR2
Q24572	CAF-1
C9J9F8	CCDC173
A0A1C7MFM9	GLT-1a
Q0VC59	Nmnat2
850648	yeh1
100500748	at1
2542107	Sec72
P00338|P07864|P07195	lactate dehydrogenase::,LDH::,BI‐1::,SCOC::,casp-1::,miR-212::,Lactate dehydrogenase::,Defa6::,mgm1::,Lon::,Clb2::,CD4::,Snc1::,atg11::,rpoE::,MICA::,dystrophin::,FOSL2::,MOG::,PUMILIO2::,CD22::,NAT10::,Rnaseh2b::,cycb1;2::,junD::,Bub1b::,Lrsam1::,ORP8::,GASZ::,IFN-β::,ZEB1::,ANG-2::,Esco1::,VAMP2::,GM-CSF
1489078	E6
851625	p22phox::,secretagogin::,PstI::,SlpA::,IκBα::,NCL::,Mitofilin::,Mef2
B7JBP8	SQR::,Sqr
Q05825	Complex V β
83737	Itch::,itch
853397	Mtr4
B0LX59	Ret::,httQ74::,Snc1::,SLFN11::,BsaHI::,DGA1::,Id1
192111	PGAM5
P02778	CXCL10::,IP-10
